t_Android;t_unix;steps;a
126872100904957;1764844816057;24043.0;3
126872598290009;1764844816546;24043.0;3
126873095164957;1764844817040;24043.0;3
126874089434644;1764844818036;24043.0;3
126874587232196;1764844818543;24043.0;3
126875083730999;1764844819036;24043.0;3
126875580879540;1764844819527;24043.0;3
126876078010217;1764844820022;24043.0;3
126876575135217;1764844820529;24043.0;3
126877072287717;1764844821017;24062.0;3
126877569431884;1764844821525;24062.0;3
126878067042926;1764844822015;24062.0;3
126878563704332;1764844822507;24062.0;3
126879060845426;1764844823004;24062.0;3
126879557979228;1764844823501;24062.0;3
126880055100530;1764844824008;24062.0;3
126880552253290;1764844824498;24062.0;3
126881049901988;1764844824994;24062.0;3
126881547052874;1764844825492;24062.0;3
126882043668551;1764844826002;24062.0;3
126882540812769;1764844826495;24062.0;3
126883037959228;1764844826989;24062.0;3
126884032236259;1764844827978;24062.0;3
126884529376884;1764844828475;24062.0;3
126885026545999;1764844828972;24062.0;3
126885523660374;1764844829486;24062.0;3
126886020801155;1764844829968;24062.0;3
126886517938186;1764844830462;24062.0;3
126887015077561;1764844830962;24081.0;3
126887512201571;1764844831468;24081.0;3
126888009347561;1764844831963;24081.0;3
126888506619853;1764844832460;24081.0;3
126889003637144;1764844832953;24081.0;3
126889500824905;1764844833450;24081.0;3
126889997917613;1764844833941;24081.0;3
126890495058707;1764844834445;24081.0;3
126890992184280;1764844834935;24081.0;3
126891489313030;1764844835433;24081.0;3
126891986561624;1764844835935;24081.0;3
126892483591311;1764844836428;24081.0;3
126893477879280;1764844837425;24081.0;3
126894472140738;1764844838417;24081.0;3
126894969290894;1764844838915;24081.0;3
126895466517196;1764844839424;24081.0;3
126895963550165;1764844839910;24081.0;3
126896460699384;1764844840418;24081.0;3
126896957831936;1764844840908;24099.0;3
126897454961780;1764844841423;24099.0;3
126897952120009;1764844841895;24099.0;3
126898449249176;1764844842397;24099.0;3
126898946411207;1764844842893;24099.0;3
126899443520374;1764844843386;24099.0;3
126899940661728;1764844843888;24099.0;3
126900437794749;1764844844386;24099.0;3
126901432095142;1764844845393;24099.0;3
126901929233580;1764844845872;24099.0;3
126902426415767;1764844846375;24099.0;3
126902923495246;1764844846875;24099.0;3
126903420650767;1764844847387;24099.0;3
126903917769778;1764844847875;24099.0;3
126904912061600;1764844848858;24099.0;3
126905409204778;1764844849367;24099.0;3
126905906339621;1764844849852;24099.0;3
126906403456028;1764844850361;24099.0;3
126906900597121;1764844850850;24116.0;3
126907397752538;1764844851352;24116.0;3
126908392026600;1764844852335;24116.0;3
126908889170611;1764844852832;24116.0;3
126909386334517;1764844853329;24116.0;3
126909883432173;1764844853830;24116.0;3
126910380568736;1764844854325;24116.0;3
126910877726965;1764844854820;24116.0;3
126911871993319;1764844855823;24116.0;3
126912369146444;1764844856319;24116.0;3
126912866365246;1764844856816;24116.0;3
126913363424257;1764844857313;24116.0;3
126913860556757;1764844857823;24116.0;3
126914357672225;1764844858307;24116.0;3
126915351963892;1764844859302;24116.0;3
126915849100663;1764844859798;24116.0;3
126916346371913;1764844860295;24116.0;3
126916843391757;1764844860796;24133.0;3
126917340525871;1764844861290;24133.0;3
126917837665298;1764844861781;24133.0;3
126918831941809;1764844862778;24133.0;3
126919329095819;1764844863280;24133.0;3
126919827035871;1764844863780;24133.0;3
126920323359048;1764844864278;24133.0;3
126920820501236;1764844864764;24133.0;3
126921814782642;1764844865774;24133.0;3
