t_Android;t_unix;x;y;z;0;a
126928258380194;1764844872201;-0.2519894;0.17737842;-0.09767914;0.94630706;3
126928268347434;1764844872210;-0.2519894;0.17737842;-0.09767914;0.94630706;3
126928278131496;1764844872223;-0.2519894;0.17737842;-0.09767914;0.94630706;3
126928288182225;1764844872232;-0.2519894;0.17737842;-0.09767914;0.94630706;3
126928298297955;1764844872247;-0.2519894;0.17737842;-0.09767914;0.94630706;3
126928307950350;1764844872249;-0.2519894;0.17737842;-0.09767914;0.94630706;3
126928318188111;1764844872262;-0.2519894;0.17737842;-0.09767914;0.94630706;3
126928328028111;1764844872273;-0.2519894;0.17737842;-0.09767914;0.94630706;3
126928338041757;1764844872281;-0.2519894;0.17737842;-0.09767914;0.94630706;3
126928347591444;1764844872296;-0.2519894;0.17737842;-0.09767914;0.94630706;3
126928357940298;1764844872299;-0.2519894;0.17737842;-0.09767914;0.94630706;3
126928367801028;1764844872311;-0.2519894;0.17737842;-0.09767914;0.94630706;3
126928377894361;1764844872323;-0.2519894;0.17737842;-0.09767914;0.94630706;3
126928387684778;1764844872330;-0.2519894;0.17737842;-0.09767914;0.94630706;3
126928397272382;1764844872348;-0.2519894;0.17737842;-0.09767914;0.94630706;3
126928407683163;1764844872348;-0.2519894;0.17737842;-0.09767914;0.94630706;3
126928417338163;1764844872361;-0.2519894;0.17737842;-0.09767914;0.94630706;3
126928427494830;1764844872372;-0.2519894;0.17737842;-0.09767914;0.94630706;3
126928437274778;1764844872378;-0.2519894;0.17737842;-0.09767914;0.94630706;3
126928447305611;1764844872397;-0.2519894;0.17737842;-0.09767914;0.94630706;3
126928457184569;1764844872401;-0.2519894;0.17737842;-0.09767914;0.94630706;3
126928467177590;1764844872409;-0.2519894;0.17737842;-0.09767914;0.94630706;3
126928477160663;1764844872422;-0.2519894;0.17737842;-0.09767914;0.94630706;3
126928487084986;1764844872428;-0.2519894;0.17737842;-0.09767914;0.94630706;3
126928497033267;1764844872448;-0.2519894;0.17737842;-0.09767914;0.94630706;3
